,Дата поезда,прогноз цены,Тип вагона,Цена в 2022 году,orders,прогноз цены_инф,gmv_2022,gmv_2023_predict,gmv_2023_predict_инф
0,2023-08-31,5874.133778,К/2К,6133.876891,516,5991.61645356,3165080.475756,3031053.0294480002,3091674.09003696
1,2023-08-31,3704.411244,П/3Б,3621.594286,89,3778.4994688799998,322321.891454,329692.600716,336286.45273032
2,2023-08-31,3600.917652,П/3Э,3634.267935,467,3672.93600504,1697203.125645,1681628.543484,1715261.11435368
3,2023-08-31,7361.833435,К/2У,6593.149057,61,7509.0701037,402182.09247699997,449071.839535,458053.2763257
4,2023-08-31,15306.936209,Л/1Э,11674.247826,100,15613.07493318,1167424.7826,1530693.6209,1561307.4933179999
